|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  129 | 3.5058823529411764 |  0.9209664878314973 |           3.0 |          2 |          5 |           85 |            3 |   1.298317093512631 |  403.90588235294115 |  175.44077982866682 |  -0.028018111458103574 |   0.853343097029629 |  0.7148108048344278 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  130 | 2.6865203761755487 |  0.8266594795854917 |           3.0 |          0 |          5 |          638 |            5 |  1.2074291986241348 |  239.35423197492162 |   156.7090813423235 |    -0.4856426356005576 |  0.6126702058123432 |  0.6275167725614351 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  131 | 3.5220125786163523 |  0.6544538547079104 |           4.0 |          1 |          5 |          159 |            4 |  0.9728957690142539 |               268.0 |  172.79914439544388 |    0.25470554920032806 |  0.5385399412109844 |  0.4916764056098461 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  132 |                4.0 |   0.587220219514703 |           4.0 |          2 |          5 |           59 |            3 |  0.8507829319173358 |   372.3728813559322 |  213.66182579867566 |     0.4555778184481734 |  0.5000557563510484 |  0.5433345537968737 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  133 |  2.522727272727273 |  1.1908300088327368 |           3.0 |          1 |          5 |           44 |            4 |  1.4560389129892057 |  456.72727272727275 |  155.06703181263163 |    -0.8076717014804525 |  1.0623112095819554 |  1.0100863912145257 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  134 |  4.087719298245614 |  0.6347300256910686 |           4.0 |          3 |          5 |           57 |            2 |  0.9444884319119347 |    420.280701754386 |  194.79776641301294 |    0.47006676656366103 |  0.6053843628389447 |  0.6072090699045937 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  135 |  3.301470588235294 |  0.7534597036699879 |           3.0 |          1 |          5 |          136 |            4 |  1.1121588984544404 |  375.63235294117646 |  168.69335795936905 |   0.009196546934698069 |  0.7692931496364409 |  0.6014740174974635 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  136 |  3.982608695652174 |  1.1621411628454876 |           4.0 |          1 |          5 |          115 |            4 |   1.325026257149935 |  335.67826086956524 |  198.12956720403355 |     0.4329642694856034 |  1.0885906516411115 |  0.9936765619402207 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  137 |  3.568093385214008 |  1.1609841692482876 |           4.0 |          1 |          5 |          257 |            4 |   1.481604492163643 |   306.3463035019455 |   176.5753886776783 |    0.08469373643763785 |   1.092625498302439 |  0.9132477358137113 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  138 |                4.0 |  0.5685352436149612 |           4.0 |          3 |          5 |          100 |            2 |  0.8486765553516089 |              310.68 |  180.31823047718788 |     0.5846105783043009 |  0.5728516541818611 |  0.6598615705473503 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  139 |              3.138 |  1.0281391638686668 |           3.0 |          1 |          5 |          500 |            4 |  1.4231116412334883 |             258.682 |  162.04495057858495 |    -0.0991046152007037 |  0.9465721433263172 |  0.7759458387550966 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  140 |               4.25 |  0.6660795536803282 |           4.0 |          2 |          5 |           72 |            3 |  0.9663887439746237 |  363.90277777777777 |  203.93544682337227 |     0.6696709649898572 |  0.6115711809727105 |  0.7697612971142999 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  141 | 3.5404699738903394 |  0.6034861970788225 |           4.0 |          2 |          4 |          383 |            2 |  0.8387526743785447 |   299.7154046997389 |  158.97591094079704 |    0.24041268505879146 | 0.42561259575921534 |  0.4045851822448772 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  142 |  4.248484848484848 |  0.8931040731290856 |           4.0 |          0 |          5 |          165 |            5 |  1.1252248352590415 |   310.6969696969697 |   170.9597878921447 |      0.809554797644943 |  0.7657012645250602 |  0.9638125975078369 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  143 | 3.8045977011494254 |  0.7126609236429878 |           4.0 |          2 |          5 |           87 |            3 |  1.0686822538824368 |  412.60919540229884 |   169.8623489443142 |    0.23011463734576837 |  0.6379058050540427 |  0.5305597985969489 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  144 |  3.563876651982379 |  0.8719416552755525 |           4.0 |          1 |          5 |          227 |            4 |  1.2319068156089883 |  297.74449339207047 |   178.5092047974535 |    0.27004132011353754 |  0.7853791036870432 |  0.6747407422668397 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  145 |  4.086021505376344 |  1.0596955467049982 |           4.0 |          1 |          5 |           93 |            4 |  1.2654041987514664 |   397.0752688172043 |  176.17698836552546 |    0.45419967466078565 |  1.0252528400367835 |  0.9511889392922063 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  146 |  2.892857142857143 |   1.865266945833968 |           3.0 |          0 |          5 |           56 |            5 |  1.6549979757156887 |   393.1607142857143 |   167.2083922193244 |    -0.6074364868981714 |  1.8545843881810549 |   1.615196254186318 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  147 | 2.9565217391304346 |  1.1146802578742867 |           3.0 |          1 |          4 |           46 |            3 |   1.294980595430665 |   360.8478260869565 |   167.9343744034561 |   -0.44602184964018515 |  1.1220043315286508 |  0.8947822143154689 |     1 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  148 |  3.742424242424242 |  0.8997539161110163 |           4.0 |          0 |          5 |           66 |            5 |  1.1514730033187182 |   374.3181818181818 |   167.2013212214001 |    0.12153052633716067 |  0.9196690976150722 |  0.7052334100287643 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  149 | 3.0194805194805197 |  0.8591740920983721 |           3.0 |          0 |          5 |          154 |            5 |  1.2442664156948253 |  337.07142857142856 |  157.86861034602913 |   -0.13947772621822335 |  0.8069077788936792 |  0.6371745029929947 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  150 | 3.5851063829787235 |  0.8218726907153965 |           4.0 |          1 |          5 |           94 |            4 |  1.1860271654776036 |  329.90425531914894 |   173.0637938908399 |      0.314945135861515 |  0.6398315223890954 |  0.5809741352617105 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  151 |  3.223076923076923 |  1.1564807925315204 |           4.0 |          0 |          5 |          130 |            5 |  1.4583538159989957 |   345.4769230769231 |  173.40767109202497 |   -0.12494182960938487 |  1.0340469075693575 |  0.8179122672553142 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  152 |  3.338582677165354 |  1.3756411056098787 |           4.0 |          0 |          5 |          127 |            5 |   1.598609091511637 |  328.70866141732284 |  183.88579574498246 |    -0.1419496065898907 |   1.268628012017438 |  1.0528734263546644 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  153 | 3.1320754716981134 |  0.9469295915709006 |           3.0 |          0 |          5 |          106 |            5 |  1.2806222726023424 |  367.42452830188677 |  190.30151254876253 |   -0.23159072969795783 |  0.8299494206639981 |  0.6604755370170462 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  154 |  4.075949367088608 |   0.818140689920005 |           4.0 |          2 |          5 |          158 |            3 |  1.1624540567820703 |  384.88607594936707 |  168.90908777290355 |     0.6266574450894756 |  0.7092510562483619 |  0.8085764558401672 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  155 |             4.3625 |  0.6607197839564004 |           4.0 |          3 |          5 |           80 |            2 |  0.9485681690063257 |              395.75 |   166.3968491060004 |     0.7768821132563596 |  0.7165449570472011 |  0.8850830824658622 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  156 |  4.337349397590361 |  0.7922575201508172 |           4.0 |          1 |          5 |          249 |            4 |  1.0314154831246323 |   275.0522088353414 |  177.89325271077806 |     0.8526767983508639 |  0.6778840202251282 |  0.9624537807946764 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  157 |  3.963235294117647 |  0.7444420056539898 |           4.0 |          1 |          5 |          136 |            4 |  1.0799887089779252 |  349.66911764705884 |  173.02819531090597 |     0.4505791885910386 |  0.6135297604185337 |  0.6311614159005787 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  158 | 3.1784037558685445 |   1.063226293830125 |           3.0 |          0 |          5 |          426 |            5 |  1.4563934818371462 |   278.7488262910798 |   163.3857515885293 |   -0.12526939650717375 |  0.9083998390595848 |  0.7154558779342193 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  159 |  3.963235294117647 |  0.8201904768409918 |           4.0 |          1 |          5 |          136 |            4 |   1.168566948930317 |   308.2647058823529 |    181.887520606845 |    0.48572935105794823 |  0.6998779961381388 |   0.668839574703824 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  160 |  3.752851711026616 |  0.9864257345765302 |           4.0 |          1 |          5 |          263 |            4 |  1.3407005127827276 |   286.9847908745247 |  173.68238910978732 |     0.2866666336115787 |  0.9460685631328688 |    0.80548686988889 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  161 |  4.036363636363636 |  1.0357254813546264 |           4.0 |          0 |          5 |           55 |            5 |  1.1659702322423966 |  420.74545454545455 |  182.12950400458527 |     0.5938212938705721 |  1.0803120478919805 |  1.0398998308717866 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  162 |  3.864864864864865 |  0.5952308411866394 |           4.0 |          0 |          5 |          111 |            5 |  0.4008453060199429 |  381.15315315315314 |  166.94246141046747 |    0.49827318565953416 |  0.6906307466758282 |  0.6952688346098723 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  163 |  3.759259259259259 |   0.984652036554556 |           4.0 |          1 |          5 |          108 |            4 |   1.344176512901693 |  354.47222222222223 |  171.12407141987543 |     0.5133218944881909 |  0.7921603513273007 |  0.7908554546743747 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  164 |  3.052434456928839 |  1.5159129828060167 |           3.0 |          0 |          5 |          267 |            5 |  1.6816937329132837 |  297.56928838951313 |  167.67637407122132 |   -0.27291594065591057 |  1.2411502547027362 |  0.9761385508818206 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  165 | 3.0828729281767955 |  0.8543741325223151 |           3.0 |          0 |          5 |          362 |            5 |   1.250898691344779 |   306.0359116022099 |   161.7493061560527 |   -0.21382449010731755 |  0.7509586486619086 |   0.596567826436742 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  166 |                3.5 |  0.6711560552140241 |           4.0 |          1 |          5 |          112 |            4 |  0.9433058660263791 |  349.35714285714283 |  182.15619755825023 |    0.07971974726597074 |  0.7219692285560405 |  0.5767592512290175 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  167 |  3.888888888888889 |  0.8323523637957304 |           4.0 |          2 |          5 |           18 |            3 |   1.175628642063659 |  387.22222222222223 |    237.544684478906 |     0.2711840424495658 |  0.7608576620573954 |  0.6506150718381041 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  168 |  4.598214285714286 |  0.6218226830563912 |           5.0 |          2 |          5 |          112 |            3 |  0.8126814128230382 |  319.88392857142856 |   187.9178345239617 |     1.2122402097295686 |  0.7015998973607391 |  1.2379934743221188 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  169 | 3.2131147540983607 |  0.8580723750180256 |           3.0 |          0 |          5 |          244 |            5 |  1.1954835816875358 |  287.38524590163934 |  180.39702198965944 |   -0.21620126352311791 |  0.8047765717777245 |  0.6409150881443397 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  170 |                3.0 |   1.283124639222163 |           3.0 |          0 |          5 |          182 |            5 |  1.5302539581299017 |   336.5274725274725 |  171.62491806482788 |   -0.21857660329999756 |  1.1448653630056795 |  0.8737001521604177 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  171 | 3.0786516853932584 |  0.6779769220583531 |           3.0 |          2 |          5 |           89 |            3 |  0.9906890128364043 |  451.59550561797755 |  161.46493561797377 |    -0.5452651727326183 |  0.6411477462354371 |  0.7197778420211676 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  172 |  3.415929203539823 |  0.9211168459291545 |           3.0 |          0 |          5 |          226 |            5 |   1.299682922297153 |  250.93362831858408 |   156.1128367477943 |    0.09826568241558056 |   0.972938688673377 |  0.7647321354303791 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  173 | 3.5483870967741935 |  0.6696566126360365 |           4.0 |          1 |          5 |           62 |            4 |  0.9457966509931761 |   414.9516129032258 |   187.3160236132348 |  -0.014072234714848173 |  0.7234723052925349 |  0.5697161921806517 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  174 | 4.3983739837398375 |  0.8271998727523724 |           5.0 |          2 |          5 |          123 |            3 |  1.0221221864165182 |   355.1869918699187 |  193.46479959377774 |     0.7839325708244614 |  0.7669550195747913 |  0.9865683376422884 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  175 |             3.8125 |  0.4798140462589043 |           4.0 |          2 |          5 |           80 |            3 |  0.6002723009014777 |               411.6 |  174.65007329304453 |    0.16568184239880027 |  0.5743159104892386 |  0.4667456795570592 |     0 |
